year_month,state,district,enrolment_total,demographic_total,biometric_total,demo_update_rate,bio_update_rate,update_imbalance,demo_mom_delta,bio_mom_delta,z_demo_update_rate,z_bio_update_rate,ml_anomaly_score
2025-02,Maharashtra,Yavatmal,250,2812.0,5323.0,11.203187250996017,21.20717131474104,-0.3086283185840708,-26582.0,-167200.0,-1.2913880749818802,-1.0922926253790883,-1
2025-01,Manipur,Imphal East,22,4655.0,32520.0,202.3913043478261,1413.9130434782608,-0.7495427157305788,,,2.397022756011141,3.171014044898665,-1
2025-01,Manipur,Thoubal,21,6392.0,29989.0,290.54545454545456,1363.1363636363635,-0.6485899620691551,,,2.1352272348584727,3.1732428973457054,-1
2025-01,Manipur,Ukhrul,8,2161.0,8180.0,240.11111111111111,908.8888888888888,-0.581995745503771,,,3.092079993989995,3.1746417530021924,-1
2025-01,Mizoram,Aizawl,20,6237.0,28853.0,297.0,1373.952380952381,-0.6444957396483428,,,3.1697813707240865,3.1749725370663966,-1
2025-01,Mizoram,Mamit,6,922.0,9454.0,131.71428571428572,1350.571428571429,-0.8222029488291414,,,2.8067843893591204,2.8459730027565,-1
2025-02,Punjab,Amritsar,335,1459.0,2063.0,4.342261904761905,6.1398809523809526,-0.1714447913709906,-53979.0,-106918.0,-0.9870775837441214,-1.190215382544533,-1
2025-01,Punjab,Jalandhar,49,16882.0,97695.0,337.64,1953.9,-0.7053099198799071,,,3.165223026415024,3.175074733313388,-1
2025-02,Punjab,Ludhiana,332,2200.0,2344.0,6.606606606606607,7.039039039039039,-0.0316831683168316,-51354.0,-129812.0,-0.9628865751000644,-1.0722147379609033,-1
2025-02,Rajasthan,Ajmer,387,1345.0,2201.0,3.466494845360825,5.672680412371134,-0.2413307020016915,-74193.0,-75040.0,-0.7294872365647251,-0.9293797430937188,-1
2025-02,Rajasthan,Alwar,613,2185.0,3616.0,3.5586319218241043,5.889250814332248,-0.2466390899689762,-74689.0,-122368.0,-0.8753225956918683,-0.8794862296668225,-1
2025-02,Rajasthan,Barmer,590,1067.0,3372.0,1.805414551607445,5.7055837563451774,-0.5191441441441441,-75486.0,-108445.0,-0.4000918715333083,-0.4158232495274089,-1
2025-01,Rajasthan,Ganganagar,106,40303.0,60465.0,376.66355140186914,565.0934579439253,-0.2000813742321547,,,3.1749421139410545,3.17511973988804,-1
2025-02,Rajasthan,Jaipur,985,3718.0,5582.0,3.77079107505071,5.661257606490873,-0.2004085582195462,-146734.0,-208943.0,-0.9481595514786978,-0.7659458944273179,-1
2025-02,Rajasthan,Jodhpur,565,1533.0,3476.0,2.708480565371025,6.141342756183746,-0.3878243512974051,-84753.0,-126961.0,-1.0449183984586874,-0.9684046884989378,-1
2025-02,Rajasthan,Nagaur,506,1468.0,3308.0,2.8954635108481264,6.52465483234714,-0.3851789826250785,-58106.0,-114868.0,-0.616790282098387,-0.5849638537593707,-1
2025-02,Rajasthan,Udaipur,619,1839.0,2809.0,2.9661290322580647,4.530645161290322,-0.208647020864702,-68989.0,-99716.0,-0.5487127865978556,-0.54753691745297,-1
2025-02,Tamil Nadu,Chennai,453,4389.0,4553.0,9.667400881057269,10.02863436123348,-0.0183383652018338,-38353.0,-133069.0,-0.6781559662274261,-0.4028568721227134,-1
2025-02,Tamil Nadu,Coimbatore,338,3343.0,3322.0,9.861356932153392,9.799410029498524,0.0031503150315031,-30724.0,-145756.0,-0.4784410191724662,-0.3157380047558519,-1
2025-02,Tamil Nadu,Kancheepuram,560,3668.0,4955.0,6.538324420677362,8.832442067736185,-0.149234693877551,-54875.0,-133022.0,-0.4342432068568737,-0.3626538093364501,-1
2025-01,Tamil Nadu,Kanniyakumari,48,13886.0,40399.0,283.38775510204084,824.469387755102,-0.4883947979221162,,,3.141863598597742,3.172998431910027,-1
2025-02,Tamil Nadu,Salem,409,3770.0,3904.0,9.195121951219512,9.521951219512196,-0.0174592833876221,-27005.0,-151318.0,-0.6306293323163026,-0.4061774994011496,-1
2025-02,Tamil Nadu,Tiruvallur,500,3073.0,4929.0,6.13373253493014,9.838323353293411,-0.2319130326127702,-61589.0,-136923.0,-0.3561987390638216,-0.3157910630540762,-1
2025-02,Telangana,Hyderabad,824,4480.0,5182.0,5.430303030303031,6.281212121212121,-0.0726482458863707,-112224.0,-121534.0,-1.224629394603567,-0.9311851961770592,-1
2025-02,Telangana,K.v. Rangareddy,947,4905.0,4745.0,5.174050632911392,5.005274261603375,0.0165785928919282,-74452.0,-139525.0,-0.4427248111241814,-0.3603469429016351,-1
2025-02,Uttar Pradesh,Agra,711,5332.0,4100.0,7.48876404494382,5.758426966292135,0.1306053217428177,-47474.0,-147617.0,-0.7315186702071255,-0.5314419496652537,-1
2025-02,Uttar Pradesh,Aligarh,542,2457.0,3470.0,4.524861878453039,6.390423572744015,-0.1708839406207827,-80859.0,-125583.0,-1.1496513565209905,-0.5701616071001601,-1
2025-02,Uttar Pradesh,Allahabad,608,4564.0,4857.0,7.494252873563219,7.975369458128079,-0.0310974315431967,-52574.0,-165128.0,-0.4171334962310643,-0.2963043515827304,-1
2025-02,Uttar Pradesh,Bareilly,810,5430.0,5235.0,6.695437731196054,6.454993834771886,0.0182823926495405,-98425.0,-141739.0,-1.2738092537600771,-0.734373114572505,-1
2025-02,Uttar Pradesh,Bijnor,639,4187.0,3955.0,6.5421875,6.1796875,0.028490728232838,-94061.0,-134317.0,-0.8329016280477397,-0.4002718184804874,-1
2025-02,Uttar Pradesh,Bulandshahr,653,2722.0,4103.0,4.162079510703364,6.273700305810397,-0.2023146791678874,-80837.0,-111749.0,-1.2040950229658025,-0.3536408092568524,-1
2025-02,Uttar Pradesh,Ghaziabad,676,3718.0,3029.0,5.4918759231905465,4.474150664697193,0.1021043272080616,-132466.0,-125042.0,-1.1119008573025368,-0.6785680777436499,-1
2025-02,Uttar Pradesh,Gorakhpur,679,3549.0,3399.0,5.219117647058823,4.998529411764705,0.0215858396891639,-50587.0,-106383.0,-1.6669195029572517,-0.936416681961844,-1
2025-02,Uttar Pradesh,Hardoi,626,3339.0,4004.0,5.3253588516746415,6.385964912280702,-0.0905501089324618,-45723.0,-121559.0,-1.0365604155001291,-0.5499558282989544,-1
2025-02,Uttar Pradesh,Kanpur Nagar,710,3480.0,3469.0,4.894514767932489,4.879043600562588,0.0015827338129496,-61518.0,-107310.0,-1.3993590897117194,-0.7308092655675662,-1
